data_fraction,num_samples,best_val_acc,test_acc,test_loss
0.1,102,0.21372549019607842,0.18702228004553587,4.406433425893394
0.2,204,0.3735294117647059,0.38412750040657023,3.379384359163392
0.3,306,0.5176470588235293,0.5044722719141325,2.6622400541076003
0.5,510,0.6911764705882353,0.6448202959830868,1.8695852890075135
0.75,765,0.85,0.814929256789722,1.015272892952198
1.0,1020,0.8980392156862745,0.8710359408033828,0.6881470375234353
